,postalcode,price,year,area,rooms,type
146357,210,65500000,2018,146,3,0
146358,111,32500000,1977,71,1,0
146359,105,90000000,1949,228,7,0
146360,101,44000000,1907,63,1,0
146361,200,45000000,1966,84,2,0
146362,625,20500000,1958,151,2,2
146366,112,51500000,2005,104,3,0
146367,200,46000000,1972,103,2,0
146368,260,28500000,2020,71,2,0
146369,200,47500000,1990,91,2,0
146370,111,37700000,1976,103,2,0
146371,105,62000000,1947,110,2,0
146372,110,124000000,1981,338,7,2
146373,270,38600000,2020,54,1,0
146376,113,37500000,2005,74,1,0
146378,101,190000000,1933,396,11,2
146379,221,44100000,1995,78,1,0
146380,110,68900000,2020,123,4,0
146381,600,25400000,1976,82,2,0
146382,200,70000000,1982,248,7,2
146383,210,70000000,2004,124,3,1
146384,200,69000000,1988,162,3,0
146386,221,50500000,2020,100,3,0
146387,621,30000000,1980,167,5,2
146388,700,30200000,2007,95,2,0
146389,810,33400000,2020,68,2,0
146390,200,36000000,1976,62,1,0
146391,730,43500000,1991,206,4,2
146392,200,47900000,2020,73,2,0
146393,200,40900000,2020,59,1,0
146395,107,66500000,1952,102,3,0
146396,110,48900000,2007,95,2,0
146399,108,39900000,1968,64,1,0
146400,112,95000000,1994,172,4,2
146401,101,46000000,2019,63,1,0
146402,105,32500000,1942,47,1,0
146403,108,150000000,1970,258,4,2
146404,200,58000000,1962,111,3,0
146405,113,47900000,2016,103,2,0
146406,105,86700000,2018,130,3,0
146407,200,78000000,2003,132,3,2
146408,200,49900000,1954,92,3,0
146409,107,46500000,1979,70,2,0
146410,105,39500000,1936,51,2,0
146411,101,53000000,1929,100,2,0
146412,110,52500000,2006,104,3,0
146413,105,51500000,1936,102,1,0
146415,200,64000000,1971,145,3,0
146419,105,42900000,1949,82,3,0
146420,105,32000000,1942,48,1,0
146421,101,60000000,1922,90,2,1
